run,tag,git_commit,git_dirty,torch,gpu,config
20260911_124905_profile,profile,7a62193ea3c0886febdb00dbeb8c8f8fcc5a3dbb,True,,,"{""weights"": ""/home/kongwoang/models/yolo/yolov8s.pt"", ""modes"": [""cheap_320"", ""cheap_384"", ""cheap_512"", ""full_640"", ""full_960""], ""reps"": 150, ""warmup"": 40, ""half"": 1, ""images"": """", ""rounds"": 1}"
20260911_124937_profile,profile,7a62193ea3c0886febdb00dbeb8c8f8fcc5a3dbb,True,,,"{""weights"": ""/home/kongwoang/models/yolo/yolov8s.pt"", ""modes"": [""cheap_320"", ""cheap_384"", ""cheap_512"", ""full_640"", ""full_960""], ""reps"": 150, ""warmup"": 40, ""half"": 1, ""images"": """", ""rounds"": 1}"
20260911_125017_profile,profile,7a62193ea3c0886febdb00dbeb8c8f8fcc5a3dbb,True,2.1.0a0+41361538.nv23.06,Xavier,"{""weights"": ""/home/kongwoang/models/yolo/yolov8s.pt"", ""modes"": [""cheap_320"", ""cheap_384"", ""cheap_512"", ""full_640"", ""full_960""], ""reps"": 150, ""warmup"": 40, ""half"": 1, ""images"": """", ""rounds"": 1}"
20260911_132412_smoke,smoke,e6d00ef9c40162b691738e32e98cc9221dbe36f7,True,2.1.0a0+41361538.nv23.06,Xavier,"{""table"": ""/tmp/rap_smoke/frames_synthetic.pkl"", ""model"": ""gbm"", ""lat_cheap"": 6.8, ""lat_full"": 12.0, ""energy_cheap"": NaN, ""energy_full"": NaN, ""tag"": ""smoke""}"
20260911_133908_smoke,smoke,e6d00ef9c40162b691738e32e98cc9221dbe36f7,True,2.1.0a0+41361538.nv23.06,Xavier,"{""table"": ""/tmp/rap_smoke/frames_synthetic.pkl"", ""model"": ""gbm"", ""lat_cheap"": 6.8, ""lat_full"": 12.0, ""energy_cheap"": NaN, ""energy_full"": NaN, ""tag"": ""smoke""}"
20260911_134555_profile,profile,6b01d9bf2171fa2dc041128c189c14753b905259,True,2.1.0a0+41361538.nv23.06,Xavier,"{""weights"": ""/home/kongwoang/models/yolo/yolov8s.pt"", ""modes"": [""cheap_320"", ""cheap_384"", ""cheap_512"", ""full_640""], ""reps"": 300, ""warmup"": 50, ""half"": 1, ""backend"": ""trt"", ""images"": ""/home/kongwoang/datasets/kitti_tracking/training/image_02/0000"", ""rounds"": 3}"
20260911_135923_profile,profile,6b01d9bf2171fa2dc041128c189c14753b905259,True,2.1.0a0+41361538.nv23.06,Xavier,"{""weights"": ""/home/kongwoang/models/yolo/yolov8s.pt"", ""modes"": [""cheap_320"", ""cheap_384"", ""cheap_512"", ""full_640"", ""full_960""], ""reps"": 400, ""warmup"": 60, ""half"": 1, ""backend"": ""trt"", ""images"": ""/home/kongwoang/datasets/kitti_tracking/training/image_02/0000"", ""rounds"": 3, ""allow_contention"": false}"
20260911_140226_profile,profile,6b01d9bf2171fa2dc041128c189c14753b905259,True,2.1.0a0+41361538.nv23.06,Xavier,"{""weights"": ""/home/kongwoang/models/yolo/yolov8s.pt"", ""modes"": [""cheap_320"", ""cheap_384"", ""cheap_512"", ""full_640"", ""full_960""], ""reps"": 400, ""warmup"": 60, ""half"": 1, ""backend"": ""trt"", ""images"": ""/home/kongwoang/datasets/kitti_tracking/training/image_02/0000"", ""rounds"": 4, ""allow_contention"": false}"
20260911_140536_detect,detect,6b01d9bf2171fa2dc041128c189c14753b905259,True,2.1.0a0+41361538.nv23.06,Xavier,"{""weights"": ""/home/kongwoang/models/yolo/yolov8s.pt"", ""backend"": ""trt"", ""cheap"": ""cheap_320"", ""full"": ""full_640"", ""extra_modes"": [""cheap_384"", ""cheap_512"", ""full_960""], ""sequences"": [""0000"", ""0003"", ""0005"", ""0011"", ""0013"", ""0017""], ""limit"": 0, ""out"": ""data/cache/modesel""}"
20260911_140836_modesel,modesel,6b01d9bf2171fa2dc041128c189c14753b905259,True,2.1.0a0+41361538.nv23.06,Xavier,"{""det"": ""data/cache/modesel"", ""modes"": [""cheap_320"", ""cheap_384"", ""cheap_512"", ""full_640"", ""full_960""], ""profile"": ""results/raw/20260911_140226_profile""}"
20260911_142608_detect,detect,6b01d9bf2171fa2dc041128c189c14753b905259,True,2.1.0a0+41361538.nv23.06,Xavier,"{""weights"": ""/home/kongwoang/models/yolo/yolov8s.pt"", ""backend"": ""trt"", ""cheap"": ""cheap_320"", ""full"": ""full_640"", ""extra_modes"": [""cheap_384"", ""full_960""], ""sequences"": null, ""limit"": 0, ""out"": ""data/cache/det""}"
20260911_143838_mechanism,mechanism,7993c1debd5ada2f53c2c916e8f65fd0fdcb2e32,True,2.1.0a0+41361538.nv23.06,Xavier,"{""det"": ""/home/kongwoang/research/risk-aware-perception/data/cache/det"", ""cheap"": ""cheap_320"", ""full"": ""full_640"", ""op_conf"": 0.25, ""crit_model"": ""composite""}"
20260911_143838_tables,tables,7993c1debd5ada2f53c2c916e8f65fd0fdcb2e32,True,2.1.0a0+41361538.nv23.06,Xavier,"{""det"": ""/home/kongwoang/research/risk-aware-perception/data/cache/det"", ""cheap"": ""cheap_320"", ""full"": ""full_640"", ""crit_models"": [""composite"", ""uniform""], ""iou_thr"": 0.5, ""op_conf"": 0.25, ""error"": ""miss"", ""fp_lambda"": 0.0, ""class_aware"": 0, ""match_detection_counts"": false, ""suffix"": """", ""out"": ""/home/kongwoang/research/risk-aware-perception/results/processed""}"
20260911_145426_analysis,analysis,7993c1debd5ada2f53c2c916e8f65fd0fdcb2e32,True,2.1.0a0+41361538.nv23.06,Xavier,"{""table"": ""results/processed/frames_composite.pkl"", ""model"": ""gbm"", ""lat_cheap"": 10.145, ""lat_full"": 16.024, ""energy_cheap"": 24.4, ""energy_full"": 39.0, ""tag"": ""analysis""}"
